,ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
12,0x1d483,CUS_0x68d9,June,Steve Slaterk,28,580-48-2588,Writer,68561.31,5594.4425,6,5,12,2,"Mortgage Loan, and Credit-Builder Loan",30,16,8.72,8.0,Standard,93.67,35.67939100432061,30 Years and 4 Months,Yes,58.021273670209816,61.615400116708614,High_spent_Large_value_payments,679.8075762130816,Poor
13,0x169dd,CUS_0x1d56,April,Laurenti,30,200-30-0736,Media_Manager,53127.72,4655.31,7,6,34,3,"Not Specified, Personal Loan, and Mortgage Loan",39,,7.04,16.0,Standard,1752.55,23.94098800109224,,Yes,87.57835313396869,62.08284715588783,High_spent_Medium_value_payments,565.8697997101435,Poor
14,0x8172,CUS_0x5bdb,January,Rv,42,419-12-7067,Engineer,7866.91,,3,5,11,7,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Not Specified, and Payday Loan",26,14,11.97,6.0,Standard,1076.09,32.45252017552347,10 Years and 11 Months,Yes,23.926064032808227,66.95259208064621,!@9#%8,270.57892721987895,Standard
15,0x38d9,CUS_0x2a36,April,Steve Gelsiv,28,422-39-2689,Engineer,99990.78,8256.565,1,3,9,1,Personal Loan,6,6,8.87,8.0,Good,155.2_,24.53293545147514,16 Years and 4 Months,No,45.30442650278234,1017.487153740518,Low_spent_Small_value_payments,52.86491975669981,Standard
16,0x18da1,CUS_0x95c2,April,Papachristouv,30,565-74-6364,Developer,33498.8,2567.566666666667,1,3,10,1,Home Equity Loan,22,11,0.63,4.0,Good,787.72,29.719064012818738,30 Years and 2 Months,NM,27.364965130952054,197.30844645578438,Low_spent_Small_value_payments,322.08325507993027,Poor
17,0xf32d,CUS_0x9a1d,April,Francesco Canepan,37,#F%$D@*&8,Journalist,7493.29,827.4408333333333,5,5,5,6,"Not Specified, Payday Loan, Payday Loan, Payday Loan, Personal Loan, and Mortgage Loan",12,18,12.67,7.0,_,2179.63,29.03183716680385,12 Years and 11 Months,Yes,25.891052364860037,67.48897746816532,Low_spent_Small_value_payments,279.364053500308,Standard
18,0x1bb86,CUS_0x3afb,May,Pascal Fletcherw,52_,612-21-7903,Engineer,124782.2,10123.516666666666,5,3,1,1,Home Equity Loan,13,9,11.49,2.0,Good,1218.72,27.05664766875266,30 Years and 6 Months,No,61.04176845078267,874.1644814757863,Low_spent_Large_value_payments,347.14541674009774,Good
19,0x1a36e,CUS_0x4953,May,Reddallr,22,181-95-5782,Mechanic,9807.79,1071.3158333333336,10,9,16,9,"Auto Loan, Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Student Loan, Student Loan, Credit-Builder Loan, and Personal Loan",22,26,4.94,,_,2138.8,35.73468181517516,16 Years and 0 Months,Yes,65.11735345202348,31.895102504531625,Low_spent_Medium_value_payments,290.11912737677824,Poor
20,0x90d7,CUS_0x5184,June,Seetharamana,22,998-89-8313,Architect,72757.26,5816.105,2,2,4,0,,9,1,9.65,2.0,_,522.38,25.441256120515703,22 Years and 8 Months,No,0.0,506.5532172322718,Low_spent_Small_value_payments,365.05728276772817,Good
21,0x23c78,CUS_0xc47c,March,Lucy Hornbyz,32,614-70-7517,Engineer,33652.17,2602.3475,2,172,8,1,Debt Consolidation Loan,7,7,4.07,1.0,Good,306.53,24.826417219854623,15 Years and 10 Months,No,18.995376822357155,91.08226643163596,High_spent_Small_value_payments,410.15710674600683,Good
22,0x1aa2e,CUS_0x2ddc,May,Sarahd,43,831-46-3722,Lawyer,38392.87,3343.4058333333337,3,5,9,2,"Payday Loan, and Credit-Builder Loan",5,10,11.8,1.0,_,883.37,26.912957804920712,,No,52.65696427161763,372.6833067054818,Low_spent_Small_value_payments,199.0003123562339,Good
23,0x1c672,CUS_0x3240,May,Kevino,34,924-63-6370,Developer,136765.92,11577.160000000002,3,2,4,4,"Debt Consolidation Loan, Not Specified, Student Loan, and Home Equity Loan",1,,1.82,1.0,_,390.9,33.483194265385755,,No,300.4755553229292,427.92322903775704,Low_spent_Medium_value_payments,709.317215639314,Good
24,0x1f9b1,CUS_0xafa8,August,Josephn,21,690-70-6950,Teacher,16832.68,,5,4,11,1,Home Equity Loan,6,8,8.21,5.0,Good,516.43,22.494768511810943,26 Years and 4 Months,No,10.592721894069614,154.90267775201778,!@9#%8,266.176933687246,Standard
25,0x9f73,CUS_0x1ee3,February,Barrl,34,772-48-5860,Doctor,15950.66,1047.2216666666666,9,8,26,9_,"Auto Loan, Credit-Builder Loan, Student Loan, Student Loan, Payday Loan, Payday Loan, Auto Loan, Auto Loan, and Debt Consolidation Loan",55,,9.01,8.0,Bad,2598.21_,29.614136203810524,15 Years and 9 Months,Yes,63.85540142023863,14.796303358447751,High_spent_Medium_value_payments,276.0704618879803,Poor
26,0x11ca7,CUS_0x26aa,February,Dianei,20,639-27-1679,Journalist,52104.0,4509.0,9,6,27,9,"Mortgage Loan, Mortgage Loan, Payday Loan, Personal Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Auto Loan, and Auto Loan",55,28,18.75,,_,4598.96_,31.93877564634613,,Yes,308.76227475364965,233.441109430438,Low_spent_Small_value_payments,198.6966158159124,Standard
27,0x13b14,CUS_0xc734,March,Koh Guia,38,946-82-3382,Media_Manager,27305.93,,3,4,19,0,,20,14,8.93,6.0,Standard,454.4,36.49482996853153,17 Years and 4 Months,Yes,0.0,28.490911112093876,High_spent_Large_value_payments,440.4585055545729,Standard
28,0x47e3,CUS_0x5fd2,February,Kokl,51,323-80-3554,Musician,138142.16,11719.846666666665,0,5,2,4,"Credit-Builder Loan, Personal Loan, Student Loan, and Not Specified",1,4,1.94,393.0,Good,174.79,28.07958579426225,17 Years and 3 Months,NM,345.74156903869425,619.1380960182016,Low_spent_Medium_value_payments,487.1050016097709,Standard
29,0x152be,CUS_0x4605,January,Graceg,25,592-19-3205,Media_Manager,87314.67,7121.2225,5,2,9,2,"Mortgage Loan, and Not Specified",15,3,4.72,1.0,Good,774.36,30.146768110432355,17 Years and 11 Months,No,96.90847013537316,154.8550853255343,High_spent_Large_value_payments,700.3586945390925,Good
30,0x175a0,CUS_0xc06e,March,radenp,30,046-72-5387,Journalist,92114.68,,3,4,8,1,Home Equity Loan,23,2352,22.87,7.0,_,820.52,25.75741006710673,20 Years and 11 Months,Yes,54.21966433694397,469.991182914214,Low_spent_Medium_value_payments,536.9114860821753,Standard
31,0x3aa1,CUS_0x4eea,April,Ryan Vlastelicai,43,316-42-8917,Mechanic,35205.24,3025.77,3,7,6,1,Mortgage Loan,8,5,4.85,0.0,Good,851.4,36.59790482094826,17 Years and 5 Months,No,23.235429820252303,92.4576390567212,Low_spent_Large_value_payments,456.8839311230265,Standard
32,0x2532,CUS_0x62f0,January,Andream,43,183-01-9526,Teacher,135115.44,11444.62,4,6,18,2,"Student Loan, and Student Loan",21,9,-3.58,0.0,Standard,269.46,35.744434138613755,18 Years and 5 Months,Yes,204.61822358773935,__10000__,High_spent_Large_value_payments,886.2938642273849,Standard
33,0x21ff9,CUS_0x9176,April,Shupingj,17,217-87-7841,Writer,32144.54,2950.711666666666,9,7,32,8,"Auto Loan, Student Loan, Debt Consolidation Loan, Student Loan, Mortgage Loan, Student Loan, Auto Loan, and Student Loan",28,21,27.29,6.0,Bad,3360.92,27.376462961453853,6 Years and 10 Months,NM,166.09065286955968,291.773675990534,Low_spent_Medium_value_payments,117.20683780657295,Standard
34,0xd79a,CUS_0x4ce7,January,Mutikanim,39,794-11-8994,Musician,36585.12,2946.76,6,10,28,8,"Student Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, Debt Consolidation Loan, Payday Loan, Personal Loan, and Home Equity Loan",52,23_,0.59,12.0,Bad,1471.01,30.40744380745081,13 Years and 4 Months,Yes,197.14025162266228,58.742682114447696,High_spent_Medium_value_payments,288.79306626289014,Poor
35,0x1d454,CUS_0xa80c,July,Browningh,52,995-60-8424,Journalist,89607.24,7256.27,0,5,12,2,"Student Loan, and Credit-Builder Loan",13,3,3.54,7.0,Good,715.19,37.694429062184454,30 Years and 1 Months,No,147.8470094912456,__10000__,High_spent_Medium_value_payments,729.5327555452085,Good
36,0xe289,CUS_0x2fb0,April,Alexei Oreskovicf,27,855-00-3668,Architect,42162.24,3782.52,6,6,1,2,"Debt Consolidation Loan, and Payday Loan",15,16,13.13,0.0,Standard,664.7,28.34299552988116,31 Years and 5 Months,No,56.148421001661326,153.49916989411992,High_spent_Medium_value_payments,418.6044091042188,Standard
37,0x15ea1,CUS_0x7303,August,Lawrence Whitep,17,727-06-5316,Media_Manager,60335.25,5120.9375,9,9,15,2,"Home Equity Loan, and Not Specified",44,16,11.04,7.0,_,1814.22,36.07776650888568,17 Years and 3 Months,Yes,92.4254713823744,104.55273269007223,High_spent_Small_value_payments,575.1155459275534,Standard
38,0x111cc,CUS_0x5b42,July,Laurenn,19,513-25-2787,Manager,59110.83,4408.84342677639,6,8,28,8,"Credit-Builder Loan, Personal Loan, Auto Loan, Payday Loan, Personal Loan, Mortgage Loan, Home Equity Loan, and Payday Loan",55,21,22.23,10.0,_,4105.86,29.079306979304608,3 Years and 8 Months,Yes,605.5316643076349,410.6241272627889,Low_spent_Large_value_payments,124.89353165318651,Standard
39,0x14a8f,CUS_0x45ea,June,Dinesh Nairh,46,083-95-6249,Mechanic,22269.09,1931.7575,7,6,5,0,,29,20,19.61,3.0,Standard,529.22,35.30096599956389,19 Years and 3 Months,NM,0.0,27.173575689885144,High_spent_Large_value_payments,406.0021743101148,Standard
40,0x19db4,CUS_0x8bd2,March,Valentinao,33,375-03-0117,Mechanic,16540.95,,8,4,9,4,"Auto Loan, Home Equity Loan, Not Specified, and Personal Loan",8,14,4.3,0.0,Good,794.61,23.488221172062225,25 Years and 9 Months,NM,53.659095691108405,23.344593274437987,High_spent_Large_value_payments,273.6375610344536,Poor
41,0x80fa,CUS_0x8443,January,Shihq,43,553-51-4273,Teacher,80415.12,6472.259999999998,6,7,16,6,"Home Equity Loan, Payday Loan, Home Equity Loan, Personal Loan, Home Equity Loan, and Debt Consolidation Loan",15,17,14.16,4.0,Standard,1309.61,30.22094442549519,,Yes,269.12103916082873,,High_spent_Large_value_payments,570.7429064544937,Standard
42,0x20d0a,CUS_0x57ea,May,Davidm,56,895-47-6403,Accountant,41563.69,3691.640833333333,5,4,6,3,"Home Equity Loan, Not Specified, and Student Loan",8,,1.4700000000000002,4.0,_,1306.64,34.49716110822811,31 Years and 11 Months,NM,72.67212751623222,97.37313488003248,High_spent_Medium_value_payments,449.11882093706873,Good
43,0x5c1a,CUS_0xa421,May,Martin Pettyw,28_,831-33-6843,Media_Manager,17926.7,1468.8916666666669,6,3,7,-100,"Payday Loan, and Auto Loan",20,8,19.6,6.0,Standard,1137.33,25.185841971467504,13 Years and 5 Months,NM,20.299369116557916,85.61531302718613,High_spent_Small_value_payments,300.97448452292264,Standard
44,0x239da,CUS_0x8a14,May,Tims,32,415-62-2686,Manager,20223.0,1614.25,6,8,15,5,"Student Loan, Auto Loan, Auto Loan, Auto Loan, and Student Loan",14,15,15.03,11.0,_,393.55,34.305961953245834,7 Years and 3 Months,Yes,73.64467479040795,82.83635528231831,Low_spent_Medium_value_payments,284.94396992727377,Poor
45,0x19d64,CUS_0xb9a2,July,Ross Kerberg,26,#F%$D@*&8,Developer,59375.22_,4734.935,3,4,5,4,"Credit-Builder Loan, Student Loan, Debt Consolidation Loan, and Home Equity Loan",11,5,7.33,0.0,Good,947.54,35.15365159099732,25 Years and 2 Months,No,116.8332019412456,79.12155903417019,High_spent_Medium_value_payments,527.5387390245844,Good
46,0x1f3aa,CUS_0x90ef,January,Steven C.n,53,096-71-6003,Doctor,17411.26,1267.9383333333333,1,2,9,2,"Credit-Builder Loan, and Credit-Builder Loan",4,3,7.41,2.0,Good,797.16,26.15428291500025,25 Years and 7 Months,No,24.103142599152452,33.9666333995147,High_spent_Medium_value_payments,318.72405733466616,Good
47,0x1224a,CUS_0x27c2,May,Gilles Guillaumev,15,534-04-9143,Teacher,98534.22,8050.184999999998,6,6,8,0,,8,16,7.1,4.0,_,1110.26,31.510704725601443,26 Years and 9 Months,Yes,0.0,262.2793444606052,Low_spent_Large_value_payments,812.7391555393948,Standard
48,0x1b074,CUS_0x4318,March,Prodhang,30,381-45-4862,Accountant,33445.01,2663.084166666667,6,4,9,0,,8,11,4.82,1.0,Good,1150.39,39.68408805062195,32 Years and 3 Months,No,0.0,91.27490857880647,High_spent_Medium_value_payments,425.0335080878602,Good
49,0x1e952,CUS_0xa9f,May,Aditi Shrivastavaz,19,601-74-3826,Teacher,72690.14,6129.511666666666,4,5,18,4,"Home Equity Loan, Auto Loan, Home Equity Loan, and Home Equity Loan",28,13,14.91,4.0,_,37.07,38.17760366402207,31 Years and 2 Months,Yes,235.22967642286667,234.8552968377984,High_spent_Medium_value_payments,392.86619340600157,Standard
50,0x19a3,CUS_0x6856,June,Gellerp,25,251-77-0979,Teacher,129067.59,,1,3,1,-100,"Student Loan, Auto Loan, Auto Loan, and Payday Loan",9,5,4.54,0.0,Good,137.15,28.43760664801648,27 Years and 0 Months,No,389.3056724525229,264.7400105652328,High_spent_Large_value_payments,665.5175669822443,Good
51,0x1b044,CUS_0x404d,March,rendao,27,417-58-6844,Scientist,58132.12,4944.343333333333,10,10,30,8,"Personal Loan, Mortgage Loan, Personal Loan, Home Equity Loan, Not Specified, Home Equity Loan, Personal Loan, and Payday Loan",61,22,23.23,12.0,Bad,4453.51,31.74164226447064,13 Years and 9 Months,Yes,254.75767057555265,354.03403780826903,Low_spent_Large_value_payments,155.64262494951168,Poor
52,0x6946,CUS_0x7174,May,Risab,30,063-61-8403,Lawyer,7084.365,710.36375,6,6,27,7,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, Payday Loan, and Payday Loan",23,16,16.3,4.0,Standard,1293.67,24.761917478879628,5 Years and 6 Months,Yes,26.758124221428982,13.930067346160488,High_spent_Small_value_payments,290.3481834324105,Poor
53,0x122d9,CUS_0x962b,April,Frankelz,21,956-84-8881,Mechanic,143802.44,11879.536666666669,6,6,6,6,"Personal Loan, Home Equity Loan, Student Loan, Student Loan, Personal Loan, and Student Loan",28,19,14.29,,_,1108.01,37.86845487419825,14 Years and 11 Months,Yes,553.551878537163,247.4711281388161,High_spent_Large_value_payments,626.9306599906877,Standard
54,0x23beb,CUS_0x6846,June,Kirstin Ridleyt,27,836-74-3048,Doctor,16183.75,1393.645833333333,7,4,17,2,"Debt Consolidation Loan, and Credit-Builder Loan",25,17,9.78,7.0,Standard,1868.92,38.459641337279365,14 Years and 2 Months,Yes,24.570729483408428,63.62867470920971,Low_spent_Medium_value_payments,331.16517914071517,Standard
55,0x198a9,CUS_0x4a0b,August,Ronald Groverg,30,089-79-7569,Writer,120629.04,9970.42,2,5,12,2,"Debt Consolidation Loan, and Debt Consolidation Loan",6,11,7.53,1.0,Good,413.86,40.54498427712525,,No,183.8052496822414,163.68852018594737,High_spent_Large_value_payments,889.5482301318112,Standard
56,0x1ea56,CUS_0x790d,January,Katharina Barty,43,431-56-0286,Journalist,92807.49_,7862.9575,1,6,3480,2,"Auto Loan, and Payday Loan",15,10,_,0.0,Good,1393.25,34.606095905478604,17 Years and 2 Months,NM,141.3666064593086,320.25068638006456,Low_spent_Small_value_payments,614.678457160627,Good
57,0x15577,CUS_0x3f9,February,Paul Carrelo,27,872-42-3881,Scientist,18060.64,,8,7,23,3,"Debt Consolidation Loan, Personal Loan, and Auto Loan",29,25,3.13,7.0,Bad,1384.96,30.67115368395943,17 Years and 3 Months,Yes,48577.0,31.228813343587042,Low_spent_Large_value_payments,336.55329092288065,Standard
58,0xc32e,CUS_0x23eb,May,Younglair,24_,929-73-1862,Musician,109905.96,9096.83,8,4,8,1,Personal Loan,29,13,11.07,1.0,_,150.87,26.908914573639866,20 Years and 5 Months,Yes,90.5828662753115,229.53627458134326,High_spent_Small_value_payments,849.5638591433452,Poor
59,0x5422,CUS_0x46f7,May,Masony,26,925-05-0709,Writer,19725.7,1835.8083333333332,8,10,17,2,"Auto Loan, and Auto Loan",3,11,10.0,7.0,_,2234.82,34.23492175532836,17 Years and 9 Months,Yes,19.398144912202703,32.14193797142231,High_spent_Small_value_payments,392.0407504497084,Poor
60,0x1428a,CUS_0x5fd1,May,Antonie,28,856-19-6470,Lawyer,35223.94,2849.328333333333,7,4,17,3,"Debt Consolidation Loan, Not Specified, and Home Equity Loan",23,13,22.56,8.0,Standard,1269.36,26.06827710444145,21 Years and 7 Months,Yes,61.914735923050706,80.43802220383263,High_spent_Medium_value_payments,392.58007520645,Standard
61,0x1f9dd,CUS_0x64c9,April,Mikolajczake,27,717-48-4776,Architect,68487.03,5867.2525,8,4,11,7,"Not Specified, Payday Loan, Auto Loan, Home Equity Loan, Debt Consolidation Loan, Personal Loan, and Personal Loan",18,19,18.95,8.0,Standard,428.4,38.33596957026821,19 Years and 0 Months,Yes,208.09228807867248,648.1998358673504,Low_spent_Small_value_payments,20.433126053977052,Good
62,0x1afdb,CUS_0x8908,June,Eva Kuehnenn,17,#F%$D@*&8,Lawyer,8375.46,531.9549999999998,7,5,10,4,"Home Equity Loan, Credit-Builder Loan, Auto Loan, and Payday Loan",16,8,17.66,5.0,_,1885.89,27.97496994478449,5 Years and 7 Months,Yes,16.291252316018873,34.427421570491504,!@9#%8,292.4768261134896,Poor
63,0x18fc,CUS_0x9f70,July,Michelley,45,147-76-6929,Entrepreneur,118248.6,10115.05,5,1,4,0,,13,,4.69,8.0,Good,191.09,33.223809624687185,17 Years and 7 Months,No,0.0,509.4292024207016,Low_spent_Medium_value_payments,782.0757975792985,Good
64,0x19e9b,CUS_0x924,June,Rodrigop,26,409-92-8008,Mechanic,179166.48,14929.54,1,5,5,1,Credit-Builder Loan,6,1,10.75,4.0,Good,181.42,40.33178000788274,32 Years and 0 Months,No,138.80174817100493,,High_spent_Large_value_payments,1407.7109397608322,Standard
65,0x130b8,CUS_0xbb9a,March,Peterd,27,798-84-4509,Lawyer,20434.595,1993.882916666667,5,1,2,0,,14,7,6.01,2.0,Good,271.51,30.943668086980487,16 Years and 0 Months,No,0.0,144.51790381659043,Low_spent_Medium_value_payments,334.87038785007616,Good
66,0xe2b6,CUS_0x7c59,January,Strupczewskih,22,788-42-3871,Architect,36298.36,,3,4,9,2,"Personal Loan, and Mortgage Loan",10,,4.38,2.0,Good,1044.75,38.443385605818854,29 Years and 1 Months,No,42.795231307865,170.82300203218782,Low_spent_Small_value_payments,360.66809999328046,Good
67,0x6585,CUS_0x2543,April,Robertai,34,272-87-2927,Manager,22438.27,1856.855833333333,7,7,9,4,"Mortgage Loan, Debt Consolidation Loan, Student Loan, and Auto Loan",17,13,11.24,3.0,Standard,167.57,27.12143857713016,29 Years and 0 Months,No,1093.0,67.16298963163018,Low_spent_Large_value_payments,330.08628574362234,Standard
68,0x1eee5,CUS_0x8b4f,April,rar,36,948-26-2105,Scientist,117116.32,9821.693333333336,1,2,12,3,"Mortgage Loan, Student Loan, and Student Loan",5,9,6.63,3.0,Good,987.98,37.299719592213094,,No,226.91600653294017,231.4656371499537,High_spent_Large_value_payments,763.7876896504398,Good
69,0x1c435,CUS_0x6a4d,August,Jan Strupczewskib,31,843-53-4733,Doctor,20501.72,1619.476666666667,7,9,16,8,"Payday Loan, Student Loan, Auto Loan, Auto Loan, Mortgage Loan, Not Specified, Student Loan, and Personal Loan",49,15,5.97,8.0,Bad,2024.36,35.473182495680696,15 Years and 10 Months,Yes,72.73705941902902,118.26234157292431,Low_spent_Large_value_payments,240.94826567471333,Standard
70,0xc792,CUS_0xb471,January,,43,091-55-3723,Developer,17638.12,,4,5,31,7,"Auto Loan, Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Personal Loan, and Debt Consolidation Loan",10,11,18.06,10.0,Standard,2120.32,38.91483532036712,15 Years and 7 Months,Yes,60.68297019260042,100.1353750654668,Low_spent_Small_value_payments,268.16598807526606,Poor
71,0xe447,CUS_0x8511,June,Stempelu,29,541-42-1348,Developer,43115.38_,,4,4,6,4,"Not Specified, Student Loan, Payday Loan, and Auto Loan",9,10,8.86,0.0,_,746.05,25.45406432882553,16 Years and 6 Months,No,118.4402088086774,273.7016269850833,Low_spent_Medium_value_payments,268.55299753957263,Good
72,0x1dff2,CUS_0x5a2d,May,en Hirschlerj,24,279-97-1576,Manager,16490.75,1616.229166666667,8,10,22,9,"Payday Loan, Payday Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Student Loan, Credit-Builder Loan, Debt Consolidation Loan, and Personal Loan",34,25,0.83,13.0,_,2394.72,23.330720798164805,8 Years and 3 Months,Yes,87.79010564611919,61.86888025239561,Low_spent_Medium_value_payments,291.9639307681519,Poor
73,0x16fad,CUS_0xcf0,April,Foot,21,049-18-2146,Engineer,76019.68,6602.973333333332,9,6,29,8,"Personal Loan, Student Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Payday Loan",15,17,13.44,6.0,Bad,1743.81,38.95144424137331,6 Years and 8 Months,Yes,390.58879943616057,92.69964698475452,High_spent_Medium_value_payments,427.00888691241823,Poor
74,0x94f2,CUS_0x46bf,January,Denisk,40,155-04-1050,Scientist,18344.75,1818.729166666667,7,7,31,6,"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Auto Loan, and Mortgage Loan",55,18,8.39,10.0,Bad,2042.28,38.421897274171506,15 Years and 5 Months,Yes,76.55205262665751,110.09217896354893,Low_spent_Large_value_payments,265.22868507646024,Poor
75,0xc95a,CUS_0x8d3,January,Saitok,14,561-11-9757,Writer,20661.14,1626.7616666666663,8,8,18,7,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",17,11,20.29,,Standard,1870.54,30.98253863915314,19 Years and 4 Months,Yes,80.51185289485339,188.0822264386417,Low_spent_Small_value_payments,184.0820873331715,Poor
76,0x17bb8,CUS_0xa22a,March,Kajimotol,23,505-29-1719,Architect,8356.44,503.37,5,5,19,5,"Home Equity Loan, Not Specified, Student Loan, Auto Loan, and Home Equity Loan",24,10_,13.53,9.0,Standard,1967.2,35.785015344512594,,Yes,19.932331558823908,59.87179976963307,Low_spent_Small_value_payments,260.53286867154304,Standard
